Re,Im,Norm,Agr,Prime,Assoc,Primes,Distinct,Factor,TextIndex,Text
27.5,12.5,-25,0.667,0,18,1,1,(√5)²,0,27.5 + 12.5√5,-27.5 - 12.5√5
-27.5,12.5,-25,2.475,0,20,1,1,(√5)²,1,-27.5 + 12.5√5,27.5 - 12.5√5
1.5,2.5,-29,1.237,1,0,0,0,'(1.5 + 2.5√5),2,1.5 + 2.5√5,-1.5 - 2.5√5,1.5 + 2.5√5
-1.5,2.5,-29,1.904,1,1,0,0,'(1.5 - 2.5√5),2,-1.5 + 2.5√5,1.5 - 2.5√5,1.5 - 2.5√5
4.0,3.0,-29,0.915,1,6,0,1,(1.5 - 2.5√5),2,4 + 3√5,-4 - 3√5,1.5 - 2.5√5
-4.0,3.0,-29,2.227,1,9,0,1,(1.5 + 2.5√5),2,-4 + 3√5,4 - 3√5,1.5 + 2.5√5
5.5,0.5,29,0.156,1,0,0,1,(1.5 - 2.5√5),2,5.5 + 0.5√5,-5.5 - 0.5√5,1.5 - 2.5√5
-5.5,0.5,29,2.985,1,3,0,1,(1.5 + 2.5√5),2,-5.5 + 0.5√5,5.5 - 0.5√5,1.5 + 2.5√5
7.0,2.0,29,0.46,1,0,0,1,(1.5 + 2.5√5),2,7 + 2√5,-7 - 2√5,1.5 + 2.5√5
-7.0,2.0,29,2.682,1,3,0,1,(1.5 - 2.5√5),2,-7 + 2√5,7 - 2√5,1.5 - 2.5√5
8.5,4.5,-29,0.742,1,6,0,1,(1.5 + 2.5√5),2,8.5 + 4.5√5,-8.5 - 4.5√5,1.5 + 2.5√5
-8.5,4.5,-29,2.399,1,9,0,1,(1.5 - 2.5√5),2,-8.5 + 4.5√5,8.5 - 4.5√5,1.5 - 2.5√5
9.5,3.5,29,0.568,1,10,0,1,(1.5 - 2.5√5),2,9.5 + 3.5√5,-9.5 - 3.5√5,1.5 - 2.5√5
-9.5,3.5,29,2.574,1,13,0,1,(1.5 + 2.5√5),2,-9.5 + 3.5√5,9.5 - 3.5√5,1.5 + 2.5√5
13.5,6.5,-29,0.695,1,14,0,1,(1.5 - 2.5√5),2,13.5 + 6.5√5,-13.5 - 6.5√5,1.5 - 2.5√5
-13.5,6.5,-29,2.447,1,17,0,1,(1.5 + 2.5√5),2,-13.5 + 6.5√5,13.5 - 6.5√5,1.5 + 2.5√5
15.5,6.5,29,0.628,1,10,0,1,(1.5 + 2.5√5),2,15.5 + 6.5√5,-15.5 - 6.5√5,1.5 + 2.5√5
-15.5,6.5,29,2.513,1,13,0,1,(1.5 - 2.5√5),2,-15.5 + 6.5√5,15.5 - 6.5√5,1.5 - 2.5√5
23.0,10.0,29,0.645,1,18,0,1,(1.5 - 2.5√5),2,23 + 10√5,-23 - 10√5,1.5 - 2.5√5
-23.0,10.0,29,2.496,1,21,0,1,(1.5 + 2.5√5),2,-23 + 10√5,23 - 10√5,1.5 + 2.5√5
24.0,11.0,-29,0.671,1,14,0,1,(1.5 + 2.5√5),2,24 + 11√5,-24 - 11√5,1.5 + 2.5√5
-24.0,11.0,-29,2.471,1,17,0,1,(1.5 - 2.5√5),2,-24 + 11√5,24 - 11√5,1.5 - 2.5√5
0.5,2.5,-31,1.456,1,0,0,0,'(0.5 + 2.5√5),2,0.5 + 2.5√5,-0.5 - 2.5√5,0.5 + 2.5√5
-0.5,2.5,-31,1.686,1,1,0,0,'(0.5 - 2.5√5),2,-0.5 + 2.5√5,0.5 - 2.5√5,0.5 - 2.5√5
6.0,1.0,31,0.281,1,0,0,1,(0.5 - 2.5√5),2,6 + √5,-6 - √5,0.5 - 2.5√5
-6.0,1.0,31,2.861,1,3,0,1,(0.5 + 2.5√5),2,-6 + √5,6 - √5,0.5 + 2.5√5
5.5,3.5,-31,0.834,1,6,0,1,(0.5 - 2.5√5),2,5.5 + 3.5√5,-5.5 - 3.5√5,0.5 - 2.5√5
-5.5,3.5,-31,2.308,1,9,0,1,(0.5 + 2.5√5),2,-5.5 + 3.5√5,5.5 - 3.5√5,0.5 + 2.5√5
6.5,1.5,31,0.38,1,0,0,1,(0.5 + 2.5√5),2,6.5 + 1.5√5,-6.5 - 1.5√5,0.5 + 2.5√5
-6.5,1.5,31,2.761,1,3,0,1,(0.5 - 2.5√5),2,-6.5 + 1.5√5,6.5 - 1.5√5,0.5 - 2.5√5
7.0,4.0,-31,0.78,1,6,0,1,(0.5 + 2.5√5),2,7 + 4√5,-7 - 4√5,0.5 + 2.5√5
-7.0,4.0,-31,2.361,1,9,0,1,(0.5 - 2.5√5),2,-7 + 4√5,7 - 4√5,0.5 - 2.5√5
11.5,4.5,31,0.596,1,10,0,1,(0.5 - 2.5√5),2,11.5 + 4.5√5,-11.5 - 4.5√5,0.5 - 2.5√5
-11.5,4.5,31,2.546,1,13,0,1,(0.5 + 2.5√5),2,-11.5 + 4.5√5,11.5 - 4.5√5,0.5 + 2.5√5
13.5,5.5,31,0.614,1,10,0,1,(0.5 + 2.5√5),2,13.5 + 5.5√5,-13.5 - 5.5√5,0.5 + 2.5√5
-13.5,5.5,31,2.527,1,13,0,1,(0.5 - 2.5√5),2,-13.5 + 5.5√5,13.5 - 5.5√5,0.5 - 2.5√5
17.0,8.0,-31,0.684,1,14,0,1,(0.5 - 2.5√5),2,17 + 8√5,-17 - 8√5,0.5 - 2.5√5
-17.0,8.0,-31,2.458,1,17,0,1,(0.5 + 2.5√5),2,-17 + 8√5,17 - 8√5,0.5 + 2.5√5
20.5,9.5,-31,0.676,1,14,0,1,(0.5 + 2.5√5),2,20.5 + 9.5√5,-20.5 - 9.5√5,0.5 + 2.5√5
-20.5,9.5,-31,2.465,1,17,0,1,(0.5 - 2.5√5),2,-20.5 + 9.5√5,20.5 - 9.5√5,0.5 - 2.5√5
28.5,12.5,31,0.65,1,18,0,1,(0.5 - 2.5√5),2,28.5 + 12.5√5,-28.5 - 12.5√5,0.5 - 2.5√5
-28.5,12.5,31,2.492,1,21,0,1,(0.5 + 2.5√5),2,-28.5 + 12.5√5,28.5 - 12.5√5,0.5 + 2.5√5
34.0,15.0,31,0.652,1,18,0,1,(0.5 + 2.5√5),2,34 + 15√5,-34 - 15√5,0.5 + 2.5√5
-34.0,15.0,31,2.489,1,21,0,1,(0.5 - 2.5√5),2,-34 + 15√5,34 - 15√5,0.5 - 2.5√5
3.0,3.0,-36,1.047,0,2,0,2,(1 + √5) (1.5 + 1.5√5),0,3 + 3√5,-3 - 3√5
-3.0,3.0,-36,2.094,0,12,0,2,(1 + √5) (1.5 + 1.5√5),1,-3 + 3√5,3 - 3√5
6,0,36,0.0,0,9,0,2,(1 + √5) (1.5 + 1.5√5),0,6,-6
9.0,3.0,36,0.524,0,4,0,2,(1 + √5) (1.5 + 1.5√5),0,9 + 3√5,-9 - 3√5
-9.0,3.0,36,2.618,0,16,0,2,(1 + √5) (1.5 + 1.5√5),1,-9 + 3√5,9 - 3√5
12.0,6.0,-36,0.714,0,0,0,2,(1 + √5) (1.5 + 1.5√5),0,12 + 6√5,-12 - 6√5
-12.0,6.0,-36,2.428,0,20,0,2,(1 + √5) (1.5 + 1.5√5),1,-12 + 6√5,12 - 6√5
21.0,9.0,36,0.639,0,6,0,2,(1 + √5) (1.5 + 1.5√5),0,21 + 9√5,-21 - 9√5
-21.0,9.0,36,2.503,0,24,0,2,(1 + √5) (1.5 + 1.5√5),1,-21 + 9√5,21 - 9√5
33.0,15.0,-36,0.667,0,10,0,2,(1 + √5) (1.5 + 1.5√5),0,33 + 15√5,-33 - 15√5
-33.0,15.0,-36,2.475,0,28,0,2,(1 + √5) (1.5 + 1.5√5),1,-33 + 15√5,33 - 15√5
2.0,3.0,-41,1.203,1,0,0,0,'(2 + 3√5),2,2 + 3√5,-2 - 3√5,2 + 3√5
-2.0,3.0,-41,1.938,1,1,0,0,'(2 - 3√5),2,-2 + 3√5,2 - 3√5,2 - 3√5
