Id,Re,Im,Norm,Agr,Prime,Assoc,Primes,Distinct,Factor,TextIndex,Text
-5.0,16.0,17177,1.75,0,1,0,2,(8.5 - 0.5√-67) (6.5 - 1.5√-67),1,-5 + 16√-67,5 - 16√-67
5.0,16.0,17177,1.392,0,0,0,2,(8.5 + 0.5√-67) (6.5 + 1.5√-67),0,5 + 16√-67,-5 - 16√-67
-4.0,16.0,17168,1.715,0,0,1,3,(2)² (3.5 + 0.5√-67) (4.5 + 0.5√-67),1,-4 + 16√-67,4 - 16√-67
4.0,16.0,17168,1.427,0,1,1,3,(2)² (3.5 - 0.5√-67) (4.5 - 0.5√-67),0,4 + 16√-67,-4 - 16√-67
-3.0,16.0,17161,1.679,0,0,1,1,(8 + √-67)²,1,-3 + 16√-67,3 - 16√-67
3.0,16.0,17161,1.463,0,1,1,1,(8 - √-67)²,0,3 + 16√-67,-3 - 16√-67
-35.5,15.5,17357,2.495,0,0,0,2,(0.5 + 0.5√-67) (29.5 + 1.5√-67),1,-35.5 + 15.5√-67,35.5 - 15.5√-67
35.5,15.5,17357,0.647,0,1,0,2,(0.5 - 0.5√-67) (29.5 - 1.5√-67),0,35.5 + 15.5√-67,-35.5 - 15.5√-67
-34.5,15.5,17287,2.481,0,0,0,2,(6.5 + 0.5√-67) (5 + 2√-67),1,-34.5 + 15.5√-67,34.5 - 15.5√-67
34.5,15.5,17287,0.661,0,1,0,2,(6.5 - 0.5√-67) (5 - 2√-67),0,34.5 + 15.5√-67,-34.5 - 15.5√-67
-33.5,15.5,17219,2.466,0,0,0,2,(√-67) (15.5 + 0.5√-67),1,-33.5 + 15.5√-67,33.5 - 15.5√-67
33.5,15.5,17219,0.676,0,0,0,2,(√-67) (15.5 - 0.5√-67),0,33.5 + 15.5√-67,-33.5 - 15.5√-67
-48.0,15.0,17379,2.646,0,1,0,2,(3) (16 - 5√-67),1,-48 + 15√-67,48 - 15√-67
48.0,15.0,17379,0.496,0,0,0,2,(3) (16 + 5√-67),0,48 + 15√-67,-48 - 15√-67
-47.0,15.0,17284,2.637,0,1,0,3,(2) (3.5 - 0.5√-67) (11.5 - 0.5√-67),1,-47 + 15√-67,47 - 15√-67
47.0,15.0,17284,0.505,0,0,0,3,(2) (3.5 + 0.5√-67) (11.5 + 0.5√-67),0,47 + 15√-67,-47 - 15√-67
-46.0,15.0,17191,2.628,1,0,0,1,'(46 - 15√-67),1,-46 + 15√-67,46 - 15√-67
46.0,15.0,17191,0.514,1,0,0,1,'(46 + 15√-67),0,46 + 15√-67,-46 - 15√-67
-2.0,16.0,17156,1.643,0,1,0,2,(2) (1 - 8√-67),1,-2 + 16√-67,2 - 16√-67
2.0,16.0,17156,1.499,0,0,0,2,(2) (1 + 8√-67),0,2 + 16√-67,-2 - 16√-67
-1.0,16.0,17153,1.607,0,0,0,2,(0.5 + 0.5√-67) (31.5 + 0.5√-67),1,-1 + 16√-67,1 - 16√-67
1.0,16.0,17153,1.535,0,1,0,2,(0.5 - 0.5√-67) (31.5 - 0.5√-67),0,1 + 16√-67,-1 - 16√-67
0.0,16.0,17152,1.571,0,0,3,2,(2)⁴ (√-67),0,16√-67,-16√-67
-32.5,15.5,17153,2.452,0,1,0,2,(0.5 - 0.5√-67) (31.5 + 0.5√-67),1,-32.5 + 15.5√-67,32.5 - 15.5√-67
32.5,15.5,17153,0.69,0,0,0,2,(0.5 + 0.5√-67) (31.5 - 0.5√-67),0,32.5 + 15.5√-67,-32.5 - 15.5√-67
-31.5,15.5,17089,2.436,0,1,0,2,(2.5 - 0.5√-67) (26 - √-67),1,-31.5 + 15.5√-67,31.5 - 15.5√-67
31.5,15.5,17089,0.706,0,0,0,2,(2.5 + 0.5√-67) (26 + √-67),0,31.5 + 15.5√-67,-31.5 - 15.5√-67
-30.5,15.5,17027,2.42,1,0,0,1,'(30.5 - 15.5√-67),1,-30.5 + 15.5√-67,30.5 - 15.5√-67
30.5,15.5,17027,0.722,1,0,0,1,'(30.5 + 15.5√-67),0,30.5 + 15.5√-67,-30.5 - 15.5√-67
-29.5,15.5,16967,2.404,0,0,1,2,(1.5 + 0.5√-67)² (5.5 - 0.5√-67),1,-29.5 + 15.5√-67,29.5 - 15.5√-67
29.5,15.5,16967,0.738,0,1,1,2,(1.5 - 0.5√-67)² (5.5 + 0.5√-67),0,29.5 + 15.5√-67,-29.5 - 15.5√-67
-28.5,15.5,16909,2.386,0,1,0,2,(4.5 - 0.5√-67) (17.5 - 1.5√-67),1,-28.5 + 15.5√-67,28.5 - 15.5√-67
28.5,15.5,16909,0.756,0,0,0,2,(4.5 + 0.5√-67) (17.5 + 1.5√-67),0,28.5 + 15.5√-67,-28.5 - 15.5√-67
-45.0,15.0,17100,2.618,0,1,0,4,(2) (3) (1.5 - 0.5√-67) (5),1,-45 + 15√-67,45 - 15√-67
45.0,15.0,17100,0.524,0,0,0,4,(2) (3) (1.5 + 0.5√-67) (5),0,45 + 15√-67,-45 - 15√-67
-44.0,15.0,17011,2.609,1,0,0,1,'(44 - 15√-67),1,-44 + 15√-67,44 - 15√-67
44.0,15.0,17011,0.533,1,0,0,1,'(44 + 15√-67),0,44 + 15√-67,-44 - 15√-67
-43.0,15.0,16924,2.599,0,1,0,2,(2) (21.5 - 7.5√-67),1,-43 + 15√-67,43 - 15√-67
43.0,15.0,16924,0.543,0,0,0,2,(2) (21.5 + 7.5√-67),0,43 + 15√-67,-43 - 15√-67
