Id,Re,Im,Norm,Agr,Prime,Assoc,Primes,Distinct,Factor,TextIndex,Text
-7.0,16.0,11057,1.819,1,0,0,1,'(7 - 16√-43),1,-7 + 16√-43,7 - 16√-43
7.0,16.0,11057,1.323,1,0,0,1,'(7 + 16√-43),0,7 + 16√-43,-7 - 16√-43
-6.0,16.0,11044,1.784,0,0,0,3,(2) (0.5 + 0.5√-43) (15.5 + 0.5√-43),1,-6 + 16√-43,6 - 16√-43
6.0,16.0,11044,1.358,0,1,0,3,(2) (0.5 - 0.5√-43) (15.5 - 0.5√-43),0,6 + 16√-43,-6 - 16√-43
-5.0,16.0,11033,1.75,0,1,0,3,(0.5 - 0.5√-43) (2.5 + 0.5√-43) (4 - √-43),1,-5 + 16√-43,5 - 16√-43
5.0,16.0,11033,1.392,0,0,0,3,(0.5 + 0.5√-43) (2.5 - 0.5√-43) (4 + √-43),0,5 + 16√-43,-5 - 16√-43
-29.5,15.5,11201,2.404,0,0,0,2,(3.5 + 0.5√-43) (10 + 3√-43),1,-29.5 + 15.5√-43,29.5 - 15.5√-43
29.5,15.5,11201,0.738,0,1,0,2,(3.5 - 0.5√-43) (10 - 3√-43),0,29.5 + 15.5√-43,-29.5 - 15.5√-43
-28.5,15.5,11143,2.386,0,0,0,2,(0.5 + 0.5√-43) (29 + 2√-43),1,-28.5 + 15.5√-43,28.5 - 15.5√-43
28.5,15.5,11143,0.756,0,1,0,2,(0.5 - 0.5√-43) (29 - 2√-43),0,28.5 + 15.5√-43,-28.5 - 15.5√-43
-27.5,15.5,11087,2.369,1,0,0,1,'(27.5 - 15.5√-43),1,-27.5 + 15.5√-43,27.5 - 15.5√-43
27.5,15.5,11087,0.773,1,0,0,1,'(27.5 + 15.5√-43),0,27.5 + 15.5√-43,-27.5 - 15.5√-43
-26.5,15.5,11033,2.35,0,1,0,3,(0.5 - 0.5√-43) (2.5 - 0.5√-43) (4 + √-43),1,-26.5 + 15.5√-43,26.5 - 15.5√-43
26.5,15.5,11033,0.792,0,0,0,3,(0.5 + 0.5√-43) (2.5 + 0.5√-43) (4 - √-43),0,26.5 + 15.5√-43,-26.5 - 15.5√-43
-39.0,15.0,11196,2.554,0,1,0,3,(2) (3) (6.5 - 2.5√-43),1,-39 + 15√-43,39 - 15√-43
39.0,15.0,11196,0.588,0,0,0,3,(2) (3) (6.5 + 2.5√-43),0,39 + 15√-43,-39 - 15√-43
-38.0,15.0,11119,2.542,1,0,0,1,'(38 - 15√-43),1,-38 + 15√-43,38 - 15√-43
38.0,15.0,11119,0.6,1,0,0,1,'(38 + 15√-43),0,38 + 15√-43,-38 - 15√-43
-37.0,15.0,11044,2.53,0,1,0,3,(2) (0.5 - 0.5√-43) (15.5 + 0.5√-43),1,-37 + 15√-43,37 - 15√-43
37.0,15.0,11044,0.612,0,0,0,3,(2) (0.5 + 0.5√-43) (15.5 - 0.5√-43),0,37 + 15√-43,-37 - 15√-43
-46.5,14.5,11203,2.647,0,0,0,2,(2.5 + 0.5√-43) (11.5 + 3.5√-43),1,-46.5 + 14.5√-43,46.5 - 14.5√-43
46.5,14.5,11203,0.495,0,1,0,2,(2.5 - 0.5√-43) (11.5 - 3.5√-43),0,46.5 + 14.5√-43,-46.5 - 14.5√-43
-45.5,14.5,11111,2.638,0,0,0,2,(5.5 + 0.5√-43) (1.5 + 2.5√-43),1,-45.5 + 14.5√-43,45.5 - 14.5√-43
45.5,14.5,11111,0.504,0,1,0,2,(5.5 - 0.5√-43) (1.5 - 2.5√-43),0,45.5 + 14.5√-43,-45.5 - 14.5√-43
-4.0,16.0,11024,1.715,0,0,1,3,(2)² (1.5 + 0.5√-43) (6.5 + 0.5√-43),1,-4 + 16√-43,4 - 16√-43
4.0,16.0,11024,1.427,0,1,1,3,(2)² (1.5 - 0.5√-43) (6.5 - 0.5√-43),0,4 + 16√-43,-4 - 16√-43
-3.0,16.0,11017,1.679,0,0,0,2,(3.5 + 0.5√-43) (14.5 + 2.5√-43),1,-3 + 16√-43,3 - 16√-43
3.0,16.0,11017,1.463,0,1,0,2,(3.5 - 0.5√-43) (14.5 - 2.5√-43),0,3 + 16√-43,-3 - 16√-43
-2.0,16.0,11012,1.643,0,1,0,2,(2) (1 - 8√-43),1,-2 + 16√-43,2 - 16√-43
2.0,16.0,11012,1.499,0,0,0,2,(2) (1 + 8√-43),0,2 + 16√-43,-2 - 16√-43
-1.0,16.0,11009,1.607,0,1,0,2,(9.5 - 0.5√-43) (3.5 - 1.5√-43),1,-1 + 16√-43,1 - 16√-43
1.0,16.0,11009,1.535,0,0,0,2,(9.5 + 0.5√-43) (3.5 + 1.5√-43),0,1 + 16√-43,-1 - 16√-43
0.0,16.0,11008,1.571,0,0,3,2,(2)⁴ (√-43),0,16√-43,-16√-43
-25.5,15.5,10981,2.331,0,0,0,2,(6 + √-43) (6.5 + 1.5√-43),1,-25.5 + 15.5√-43,25.5 - 15.5√-43
25.5,15.5,10981,0.811,0,1,0,2,(6 - √-43) (6.5 - 1.5√-43),0,25.5 + 15.5√-43,-25.5 - 15.5√-43
-24.5,15.5,10931,2.311,0,0,0,2,(2.5 + 0.5√-43) (16 + 3√-43),1,-24.5 + 15.5√-43,24.5 - 15.5√-43
24.5,15.5,10931,0.831,0,1,0,2,(2.5 - 0.5√-43) (16 - 3√-43),0,24.5 + 15.5√-43,-24.5 - 15.5√-43
